0,-0.023636,0.00042015
1.0005,-0.023216,0.00042272
2.001,-0.022791,0.00042789
3.0015,-0.02236,0.00043312
4.002,-0.021924,0.00043842
5.0025,-0.021483,0.00044378
6.003,-0.021036,0.0004492
7.0035,-0.020584,0.00045469
8.004,-0.020126,0.00046025
9.0045,-0.019663,0.00046587
10.005,-0.019194,0.00047156
11.006,-0.018719,0.00047732
12.006,-0.018239,0.00048315
13.007,-0.017752,0.00048905
14.007,-0.01726,0.00049502
15.008,-0.016762,0.00050106
16.008,-0.016258,0.00050718
17.009,-0.015747,0.00051336
18.009,-0.01523,0.00051963
19.01,-0.014707,0.00052596
20.01,-0.014178,0.00053238
21.011,-0.013642,0.00053887
22.011,-0.0131,0.00054543
23.012,-0.012551,0.00055208
24.012,-0.011995,0.0005588
25.013,-0.011432,0.00056561
26.013,-0.010863,0.00057249
27.014,-0.010287,0.00057946
28.014,-0.0097036,0.00058651
29.015,-0.0091132,0.00059365
30.015,-0.0085157,0.00060087
31.016,-0.0079109,0.00060817
32.016,-0.0072987,0.00061556
33.017,-0.0066791,0.00062304
34.017,-0.006052,0.00063061
35.018,-0.0054173,0.00063827
36.018,-0.0047748,0.00064601
37.019,-0.0041246,0.00065385
38.019,-0.0034665,0.00066178
39.02,-0.0028004,0.00066981
40.02,-0.0021262,0.00067793
41.021,-0.0014439,0.00068614
42.021,-0.00075324,0.00069445
43.022,-5.4262e-05,0.00070285
44.022,0.00065317,0.00071136
45.023,0.0013692,0.00071996
46.023,0.0020938,0.00072867
47.024,0.0028272,0.00073747
48.024,0.0035695,0.00074638
49.025,0.0043207,0.00075539
50.025,0.005081,0.0007645
51.026,0.0058505,0.00077372
52.026,0.0066293,0.00078305
53.027,0.0074174,0.00079248
54.027,0.008215,0.00080202
55.028,0.0090222,0.00081167
56.028,0.0098392,0.00082143
57.029,0.010666,0.0008313
58.029,0.011503,0.00084129
59.03,0.012349,0.00085138
60.03,0.013206,0.0008616
61.031,0.014073,0.00087192
62.031,0.014951,0.00088237
63.032,0.015839,0.00089293
64.032,0.016738,0.00090361
65.033,0.017647,0.0009144
66.033,0.018567,0.00092532
67.034,0.019499,0.00093636
68.034,0.020441,0.00094752
69.035,0.021395,0.00095881
70.035,0.02236,0.00097022
71.036,0.023336,0.00098175
72.036,0.024324,0.00099342
73.037,0.025324,0.0010052
74.037,0.026336,0.0010171
75.038,0.027359,0.0010292
76.038,0.028395,0.0010413
77.039,0.029443,0.0010536
78.039,0.030503,0.0010661
79.04,0.031576,0.0010787
80.04,0.032662,0.0010914
81.041,0.03376,0.0011042
82.041,0.034871,0.0011172
83.042,0.035995,0.0011303
84.042,0.037133,0.0011435
85.043,0.038284,0.0011569
86.043,0.039448,0.0011704
87.044,0.040626,0.0011841
88.044,0.041817,0.0011979
89.045,0.043022,0.0012118
90.045,0.044242,0.0012259
91.046,0.045475,0.0012401
92.046,0.046723,0.0012544
93.047,0.047985,0.0012689
94.047,0.049262,0.0012836
95.048,0.050554,0.0012983
96.048,0.05186,0.0013133
97.049,0.053182,0.0013283
98.049,0.054518,0.0013435
99.05,0.05587,0.0013589
100.05,0.057237,0.0013744
101.05,0.05862,0.00139
102.05,0.060019,0.0014058
103.05,0.061433,0.0014217
104.05,0.062864,0.0014378
105.05,0.06431,0.001454
106.05,0.065773,0.0014703
107.05,0.067252,0.0014868
108.05,0.068748,0.0015035
109.05,0.070261,0.0015202
110.06,0.07179,0.0015371
111.06,0.073337,0.0015542
112.06,0.0749,0.0015714
113.06,0.076481,0.0015887
114.06,0.078079,0.0016062
115.06,0.079695,0.0016238
116.06,0.081328,0.0016415
117.06,0.08298,0.0016594
118.06,0.084649,0.0016773
119.06,0.086336,0.0016955
120.06,0.088041,0.0017137
121.06,0.089765,0.0017321
122.06,0.091507,0.0017506
123.06,0.093268,0.0017692
124.06,0.095047,0.0017879
125.06,0.096846,0.0018068
126.06,0.098663,0.0018258
127.06,0.1005,0.0018448
128.06,0.10235,0.001864
129.06,0.10423,0.0018833
130.07,0.10612,0.0019027
131.07,0.10804,0.0019222
132.07,0.10997,0.0019418
133.07,0.11192,0.0019615
134.07,0.11389,0.0019812
135.07,0.11589,0.0020011
136.07,0.1179,0.002021
137.07,0.11993,0.002041
138.07,0.12198,0.0020611
139.07,0.12405,0.0020812
140.07,0.12615,0.0021014
141.07,0.12826,0.0021216
142.07,0.13039,0.0021419
143.07,0.13255,0.0021622
144.07,0.13472,0.0021826
145.07,0.13691,0.002203
146.07,0.13913,0.0022234
147.07,0.14136,0.0022438
148.07,0.14362,0.0022642
149.07,0.14589,0.0022846
150.08,0.14819,0.002305
151.08,0.1505,0.0023254
152.08,0.15284,0.0023458
153.08,0.1552,0.0023661
154.08,0.15758,0.0023864
155.08,0.15997,0.0024067
156.08,0.16239,0.0024269
157.08,0.16483,0.002447
158.08,0.16729,0.002467
159.08,0.16977,0.0024869
160.08,0.17226,0.0025068
161.08,0.17478,0.0025265
162.08,0.17732,0.0025461
163.08,0.17988,0.0025655
164.08,0.18245,0.0025848
165.08,0.18505,0.002604
166.08,0.18766,0.002623
167.08,0.1903,0.0026418
168.08,0.19295,0.0026603
169.08,0.19562,0.0026787
170.09,0.19831,0.0026969
171.09,0.20102,0.0027148
172.09,0.20374,0.0027325
173.09,0.20649,0.0027499
174.09,0.20925,0.002767
175.09,0.21202,0.0027838
176.09,0.21482,0.0028004
177.09,0.21763,0.0028166
178.09,0.22045,0.0028324
179.09,0.22329,0.002848
180.09,0.22615,0.0028631
181.09,0.22902,0.0028779
182.09,0.23191,0.0028922
183.09,0.23481,0.0029062
184.09,0.23772,0.0029197
185.09,0.24065,0.0029328
186.09,0.24359,0.0029454
187.09,0.24655,0.0029576
188.09,0.24951,0.0029692
189.09,0.25249,0.0029804
190.1,0.25547,0.002991
191.1,0.25847,0.0030011
192.1,0.26148,0.0030107
193.1,0.2645,0.0030196
194.1,0.26752,0.0030281
195.1,0.27056,0.0030359
196.1,0.2736,0.0030431
197.1,0.27664,0.0030497
198.1,0.2797,0.0030556
199.1,0.28276,0.003061
200.1,0.28582,0.0030656
201.1,0.28889,0.0030696
202.1,0.29197,0.0030729
203.1,0.29504,0.0030756
204.1,0.29812,0.0030775
205.1,0.3012,0.0030787
206.1,0.30428,0.0030792
207.1,0.30736,0.003079
208.1,0.31044,0.003078
209.1,0.31352,0.0030763
210.11,0.3166,0.0030738
211.11,0.31967,0.0030706
212.11,0.32274,0.0030667
213.11,0.32581,0.0030619
214.11,0.32887,0.0030564
215.11,0.33192,0.0030502
216.11,0.33497,0.0030431
217.11,0.33801,0.0030353
218.11,0.34105,0.0030267
219.11,0.34407,0.0030174
220.11,0.34708,0.0030073
