15.286,0
30.571,0.048432
45.857,0.013698
61.142,0.039865
76.428,0.1579
91.714,0.12569
107,0.12554
122.28,0.075612
137.57,0.092023
152.86,0.18349
168.14,0.19132
183.43,0.20977
198.71,0.24691
214,0.34761
229.28,0.43037
244.57,0.45047
259.86,0.46965
275.14,0.50824
290.43,0.47016
305.71,0.34273
321,0.43176
336.28,0.41356
351.57,0.4075
366.85,0.48313
382.14,0.50966
397.43,0.64674
412.71,0.52613
428,0.50224
443.28,0.53684
458.57,0.53068
473.85,0.54783
15.334,0
30.585,-0.011214
45.897,0.00083626
61.296,0.0086623
76.548,-0.10004
91.834,0.0075401
107.07,0.046385
122.37,-0.036077
137.75,0.0978
153.04,0.11637
168.34,0.15727
183.67,0.17709
199.05,0.20025
214.42,0.20013
229.73,0.23437
245.03,0.34716
260.36,0.52867
275.6,0.48266
290.76,0.4317
306.13,0.48125
321.4,0.39527
336.68,0.39106
352.04,0.39434
367.36,0.35081
382.78,0.43406
397.94,0.3887
413.2,0.4187
428.52,0.43525
443.8,0.47389
459.1,0.42345
474.31,0.44174
15.323,0
30.586,0.023439
45.905,-0.0051879
61.193,0.0055996
76.548,0.091333
91.873,0.072067
107.03,0.098002
122.46,0.11927
137.86,0.084357
153.19,0.0089344
168.51,0.20592
183.86,0.18208
199.24,0.32534
214.65,0.36905
230.07,0.45082
245.55,0.36089
260.83,0.26729
276.02,0.43098
291.23,0.48832
306.52,0.38958
321.78,0.53741
337.07,0.53142
352.39,0.41677
367.79,0.45639
383.17,0.4351
398.36,0.3634
413.63,0.56112
428.99,0.71173
444.22,0.51288
459.53,0.44048
474.66,0.45428
15.346,0
30.581,0.021703
45.911,-0.017562
61.281,-0.012711
76.616,1.3389e-05
91.966,0.11298
107.14,0.085557
122.54,0.050953
137.86,0.15165
153.39,0.24345
168.69,0.18713
184.18,0.30053
199.61,0.31489
215.09,0.25433
230.42,0.2123
245.81,0.40335
261.26,0.47455
276.51,0.50672
291.62,0.5199
307.06,0.594
322.31,0.42018
337.49,0.34519
352.85,0.42998
368.23,0.53014
383.53,0.469
398.92,0.41318
414.35,0.46537
429.51,0.16215
444.66,0.47823
459.98,0.52405
475.1,0.49623
15.368,0
30.563,0.001126
45.898,-0.017563
61.28,0.0077337
76.726,0.071062
92.049,0.006509
107.19,0.041768
122.69,0.013725
138.1,0.096001
153.57,0.047413
168.99,0.25825
184.49,0.23092
199.86,0.23144
215.3,0.25154
230.82,0.28554
246.28,0.37437
261.76,0.38072
277.02,0.40541
292.21,0.5
307.47,0.46549
322.65,0.69831
337.92,0.53642
353.38,0.45884
368.69,0.45828
383.94,0.50657
399.38,0.39153
414.5,0.39429
429.98,0.52171
445.17,0.44217
460.47,0.48612
475.6,0.59706
15.369,0
30.546,0.030565
45.906,0.07818
61.348,0.054641
76.728,0.080579
92.086,0.076914
107.2,0.095851
122.78,0.2102
138.14,0.14347
153.82,0.23304
169.21,0.16059
184.71,0.17296
200.1,0.24498
215.58,0.31565
231.19,0.45286
246.66,0.31022
262.16,0.37927
277.51,0.61409
292.66,0.47546
308.16,0.54428
323.18,0.47808
338.38,0.45487
353.84,0.48099
369.2,0.56015
384.34,0.44228
399.77,0.61868
415.02,0.63458
430.42,0.54194
445.65,0.54401
461.06,0.58473
476.33,0.61354
15.4,0
30.624,-0.11859
45.961,-0.095161
61.428,-0.060711
76.804,-0.017836
92.18,-0.01943
107.41,0.071728
122.92,-0.0048531
138.37,0.018206
153.98,0.093307
169.38,0.15939
184.96,0.14454
200.42,0.20494
216.03,0.31735
231.5,0.50236
247.04,0.37788
