319.45,482.88,321.04,467.67,322.64,452.47,324.23,437.27,325.82,422.07,326.27,406.79,325.97,391.5,325.66,376.22,325.36,360.94,325.05,345.66,324.27,330.39,323.04,315.16,321.8,299.92,320.57,284.68,319.42,269.44,318.31,254.2,317.2,238.95,316.09,223.71,314.98,208.46,315.62,193.19,316.62,177.94,317.62,162.68,318.63,147.43,321.21,132.37,323.88,117.32,326.55,102.26,329.22,87.213,331.36,72.079,333.43,56.933,335.49,41.788,336.83,26.56,337.35,11.284
319.44,483.57,321.01,468.31,322.6,453.15,324.19,437.92,325.75,422.6,326.24,407.35,325.92,392.07,325.61,376.84,325.36,361.54,324.99,346.17,324.24,330.89,323.01,315.64,321.76,300.36,320.56,285.03,319.42,269.7,318.34,254.43,317.26,239.17,316.09,223.89,314.99,208.68,315.61,193.54,316.63,178.2,317.64,162.96,318.63,147.71,321.2,132.57,323.84,117.48,326.56,102.3,329.21,87.374,331.31,72.258,333.39,57.079,335.5,41.948,336.75,26.701,337.35,11.506
319.45,484.06,320.99,468.81,322.54,453.63,324.15,438.39,325.72,423.19,326.16,407.84,325.89,392.52,325.58,377.37,325.33,361.93,324.96,346.54,324.2,331.23,323.03,315.95,321.77,300.66,320.55,285.32,319.38,269.96,318.33,254.58,317.28,239.13,316.07,223.9,315,208.74,315.59,193.54,316.64,178.29,317.66,163.06,318.64,147.8,321.14,132.69,323.83,117.53,326.53,102.39,329.22,87.441,331.31,72.307,333.36,57.085,335.49,42.012,336.72,26.748,337.3,11.633
319.46,484.66,320.99,469.38,322.55,454.23,324.14,438.98,325.69,423.69,326.15,408.36,325.86,393.02,325.55,377.84,325.32,362.45,324.94,347.13,324.22,331.62,323.05,316.36,321.8,300.93,320.58,285.54,319.4,270.1,318.31,254.82,317.25,239.46,316.04,224.06,314.98,208.85,315.59,193.75,316.66,178.35,317.68,163.13,318.65,147.98,321.19,132.83,323.86,117.69,326.5,102.61,329.27,87.477,331.37,72.193,333.39,57.167,335.48,42.166,336.69,26.889,337.28,11.781
319.47,485.17,320.98,469.87,322.53,454.76,324.11,439.51,325.68,424.2,326.12,408.76,325.84,393.44,325.52,378.31,325.28,362.81,324.93,347.4,324.19,331.95,323.02,316.58,321.79,301.12,320.62,285.8,319.43,270.4,318.34,254.92,317.25,239.5,316.09,224.07,315,208.84,315.61,193.67,316.66,178.44,317.71,163.3,318.68,148.06,321.22,132.81,323.84,117.72,326.52,102.71,329.31,87.525,331.34,72.538,333.31,57.186,335.47,42.152,336.73,26.907,337.32,11.786
319.49,485.59,320.98,470.29,322.53,455.19,324.11,439.91,325.66,424.55,326.12,409.18,325.83,393.82,325.5,378.71,325.25,363.13,324.89,347.78,324.14,332.11,323,316.77,321.78,301.31,320.62,285.97,319.43,270.54,318.36,254.97,317.3,239.53,316.12,224.08,315.04,208.76,315.63,193.62,316.7,178.16,317.71,163.18,318.68,148.01,321.23,132.76,323.81,117.61,326.55,102.73,329.33,87.546,331.37,72.431,333.36,57.162,335.51,42.084,336.79,26.73,337.39,11.472
319.49,486.12,320.96,470.79,322.51,455.65,324.1,440.39,325.66,425,326.08,409.64,325.79,394.26,325.47,379.04,325.23,363.52,324.88,348.08,324.15,332.48,322.99,317.13,321.75,301.6,320.63,286.18,319.42,270.62,318.36,255.19,317.3,239.69,316.19,223.99,315.07,208.82,315.67,193.61,316.68,178.22,317.72,163.26,318.69,148.06,321.2,132.72,323.87,117.71,326.51,102.63,329.3,87.438,331.38,72.422,333.39,57.152,335.51,42.032,336.81,26.651,337.43,11.273
319.52,486.59,320.95,471.38,322.5,456.21,324.07,440.92,325.61,425.49,326.06,410.13,325.78,394.66,325.47,379.51,325.25,363.98,324.87,348.46,324.13,332.8,322.96,317.46,321.73,301.87,320.57,286.34,319.39,270.59,318.38,255.28,317.33,239.89,316.2,224.18,315.06,208.97,315.61,193.74,316.67,178.27,317.69,163.14,318.69,148.18,321.24,132.84,323.82,117.7,326.51,102.67,329.3,87.613,331.4,72.464,333.37,57.262,335.49,42.094,336.7,26.972,337.39,11.46
319.49,487.2,320.92,471.94,322.46,456.72,324.04,441.47,325.6,425.97,326.04,410.6,325.75,395.1,325.42,379.82,325.18,364.28,324.84,348.99,324.12,333.06,323,317.84,321.72,302.11,320.55,286.57,319.43,271.11,318.39,255.49,317.29,239.98,316.14,224.27,315.06,209.1,315.56,194.08,316.66,178.34,317.7,163.19,318.7,148.15,321.22,132.85,323.81,117.81,326.48,102.77,329.25,87.654,331.39,72.402,333.4,57.401,335.48,42.185,336.74,27.001,337.39,11.169
319.51,487.71,320.9,472.49,322.48,457.24,324.06,441.92,325.56,426.48,326.03,411.13,325.76,395.55,325.44,380.25,325.18,364.74,324.85,349.37,324.12,333.39,322.99,318.14,321.74,302.37,320.56,286.86,319.42,271.03,318.45,255.67,317.27,240.21,316.14,224.27,315.03,209.21,315.62,193.95,316.73,178.41,317.75,163.27,318.73,148.2,321.27,132.87,323.87,117.74,326.53,102.77,329.28,87.76,331.42,72.447,333.41,57.341,335.54,42.191,336.88,26.86,337.42,11.106
319.51,488.25,320.89,473,322.45,457.75,324.03,442.43,325.56,426.99,326.01,411.55,325.74,395.96,325.41,380.68,325.16,365.13,324.83,349.83,324.08,333.71,322.92,318.46,321.71,302.62,320.57,287.09,319.43,271.13,318.46,255.82,317.32,240.25,316.14,224.32,315.06,209.16,315.65,194.03,316.76,178.53,317.78,163.31,318.7,148.22,321.32,132.86,323.91,117.75,326.58,102.72,329.35,87.639,331.53,72.01,333.46,57.297,335.6,42.163,336.81,27.036,337.44,11.164
319.51,488.83,320.87,473.67,322.43,458.37,324,442.98,325.49,427.5,325.96,412.07,325.72,396.42,325.41,381.25,325.16,365.57,324.82,350.19,324.08,334.07,322.96,318.87,321.75,302.94,320.54,287.34,319.41,271.57,318.46,256.01,317.39,240.33,316.11,224.37,315.03,209.28,315.64,194.09,316.76,178.65,317.76,163.41,318.76,148.4,321.36,132.99,323.84,117.74,326.53,102.89,329.32,87.841,331.54,72.039,333.49,57.351,335.61,42.356,336.84,27.061,337.41,11.169
319.52,489.32,320.86,474.13,322.43,458.8,324,443.44,325.53,427.99,325.98,412.49,325.72,396.87,325.41,381.64,325.16,365.92,324.83,350.52,324.09,334.41,322.92,319.13,321.71,303.14,320.55,287.47,319.39,271.69,318.47,256.08,317.3,240.18,316.11,224.22,315.08,209.31,315.69,194.13,316.81,178.63,317.8,163.43,318.76,148.37,321.36,133.02,323.89,117.68,326.59,102.87,329.34,87.769,331.52,72.239,333.46,57.345,335.6,42.386,336.82,27.045,337.42,11.154
